Date,adjclose
2001-06-25,0.3684
2001-06-26,0.3647
2001-06-27,0.3584
2001-06-28,0.3615
2001-06-29,0.357
2001-07-02,0.367
2001-07-03,0.3661
2001-07-05,0.3561
2001-07-06,0.3383
2001-07-09,0.3486
2001-07-10,0.3246
2001-07-11,0.3461
2001-07-12,0.3741
2001-07-13,0.3816
2001-07-16,0.3679
2001-07-17,0.3854
2001-07-18,0.3192
2001-07-19,0.3065
2001-07-20,0.3068
2001-07-23,0.3
2001-07-24,0.2931
2001-07-25,0.2836
2001-07-26,0.2855
2001-07-27,0.2911
2001-07-30,0.2907
2001-07-31,0.2885
2001-08-01,0.2927
2001-08-02,0.3043
2001-08-03,0.2994
2001-08-06,0.2937
2001-08-07,0.2956
2001-08-08,0.2902
2001-08-09,0.2925
2001-08-10,0.2921
2001-08-13,0.2931
2001-08-14,0.2876
2001-08-15,0.2832
2001-08-16,0.2864
2001-08-17,0.2775
2001-08-20,0.2782
2001-08-21,0.2752
2001-08-22,0.2796
2001-08-23,0.2735
2001-08-24,0.2851
2001-08-27,0.2905
2001-08-28,0.2825
2001-08-29,0.2738
2001-08-30,0.2738
2001-08-31,0.2848
2001-09-04,0.2802
2001-09-05,0.2848
2001-09-06,0.2721
2001-09-07,0.2653
2001-09-10,0.2667
2001-09-17,0.2609
2001-09-18,0.25
2001-09-19,0.2613
2001-09-20,0.2408
2001-09-21,0.2415
2001-09-24,0.2526
2001-09-25,0.2386
2001-09-26,0.2326
2001-09-27,0.2382
2001-09-28,0.2382
2001-10-01,0.2386
2001-10-02,0.2311
2001-10-03,0.23
2001-10-04,0.2438
2001-10-05,0.2478
2001-10-08,0.2488
2001-10-09,0.2457
2001-10-10,0.2583
2001-10-11,0.2724
2001-10-12,0.2766
2001-10-15,0.2762
2001-10-16,0.2766
2001-10-17,0.2609
2001-10-18,0.2764
2001-10-19,0.281
2001-10-22,0.2921
2001-10-23,0.2785
2001-10-24,0.291
2001-10-25,0.2947
2001-10-26,0.2867
2001-10-29,0.2707
2001-10-30,0.2703
2001-10-31,0.2696
2001-11-01,0.2855
2001-11-02,0.2851
2001-11-05,0.2928
2001-11-06,0.3005
2001-11-07,0.3008
2001-11-08,0.2873
2001-11-09,0.2873
2001-11-12,0.2879
2001-11-13,0.2974
2001-11-14,0.3011
2001-11-15,0.2987
2001-11-16,0.2913
2001-11-19,0.3071
2001-11-20,0.2999
2001-11-21,0.3022
2001-11-23,0.3047
2001-11-26,0.3281
2001-11-27,0.3225
2001-11-28,0.3152
2001-11-29,0.3136
2001-11-30,0.3271
2001-12-03,0.3232
2001-12-04,0.344
2001-12-05,0.3648
2001-12-06,0.3498
2001-12-07,0.3461
2001-12-10,0.3461
2001-12-11,0.3344
2001-12-12,0.33
2001-12-13,0.3225
2001-12-14,0.3131
2001-12-17,0.3166
2001-12-18,0.3226
2001-12-19,0.332
2001-12-20,0.3174
2001-12-21,0.3225
2001-12-24,0.328
2001-12-26,0.33
2001-12-27,0.3389
2001-12-28,0.3444
2001-12-31,0.3363
2002-01-02,0.3578
2002-01-03,0.3621
2002-01-04,0.3638
2002-01-07,0.3516
2002-01-08,0.3472
2002-01-09,0.3324
2002-01-10,0.326
2002-01-11,0.3232
2002-01-14,0.3248
2002-01-15,0.3332
2002-01-16,0.3191
2002-01-17,0.3452
2002-01-18,0.3404
2002-01-22,0.3351
2002-01-23,0.3535
2002-01-24,0.3564
2002-01-25,0.357
2002-01-28,0.3573
2002-01-29,0.3542
2002-01-30,0.3699
2002-01-31,0.3796
2002-02-01,0.3748
2002-02-04,0.3893
2002-02-05,0.3908
2002-02-06,0.3788
2002-02-07,0.3731
2002-02-08,0.369
2002-02-11,0.3836
2002-02-12,0.3794
2002-02-13,0.384
2002-02-14,0.3777
2002-02-15,0.367
2002-02-19,0.3473
2002-02-20,0.3552
2002-02-21,0.3301
2002-02-22,0.3492
2002-02-25,0.3656
2002-02-26,0.3635
2002-02-27,0.3372
2002-02-28,0.3332
2002-03-01,0.3601
2002-03-04,0.373
2002-03-05,0.3613
2002-03-06,0.3696
2002-03-07,0.3744
2002-03-08,0.3787
2002-03-11,0.3848
2002-03-12,0.3796
2002-03-13,0.3761
2002-03-14,0.3751
2002-03-15,0.3831
2002-03-18,0.3799
2002-03-19,0.3816
2002-03-20,0.3827
2002-03-21,0.3727
2002-03-22,0.3699
2002-03-25,0.3585
2002-03-26,0.3602
2002-03-27,0.3604
2002-03-28,0.3635
2002-04-01,0.3756
2002-04-02,0.3696
2002-04-03,0.3647
2002-04-04,0.3823
2002-04-05,0.3799
2002-04-08,0.3771
2002-04-09,0.3701
2002-04-10,0.3787
2002-04-11,0.3817
2002-04-12,0.3848
2002-04-15,0.3839
2002-04-16,0.3952
2002-04-17,0.4009
2002-04-18,0.3902
2002-04-19,0.3836
2002-04-22,0.3767
2002-04-23,0.3724
2002-04-24,0.365
2002-04-25,0.3704
2002-04-26,0.3533
2002-04-29,0.3679
2002-04-30,0.3727
2002-05-01,0.3682
2002-05-02,0.3638
2002-05-03,0.361
2002-05-06,0.3478
2002-05-07,0.345
2002-05-08,0.3742
2002-05-09,0.3714
2002-05-10,0.3581
2002-05-13,0.3676
2002-05-14,0.3933
2002-05-15,0.3882
2002-05-16,0.3871
2002-05-17,0.384
2002-05-20,0.3799
2002-05-21,0.3602
2002-05-22,0.3734
2002-05-23,0.3866
2002-05-24,0.3708
2002-05-28,0.3682
2002-05-29,0.3682
2002-05-30,0.3716
2002-05-31,0.3578
2002-06-03,0.3518
2002-06-04,0.3498
2002-06-05,0.3489
2002-06-06,0.3403
2002-06-07,0.3286
2002-06-10,0.3298
2002-06-11,0.3142
2002-06-12,0.3085
2002-06-13,0.3
2002-06-14,0.3086
2002-06-17,0.3154
2002-06-18,0.3094
2002-06-19,0.2629
2002-06-20,0.2627
2002-06-21,0.2587
2002-06-24,0.2652
2002-06-25,0.2632
2002-06-26,0.2541
2002-06-27,0.262
2002-06-28,0.2721
2002-07-01,0.262
2002-07-02,0.2601
2002-07-03,0.2695
2002-07-05,0.2878
2002-07-08,0.2766
2002-07-09,0.2692
2002-07-10,0.266
2002-07-11,0.281
2002-07-12,0.2689
2002-07-15,0.2799
2002-07-16,0.2742
2002-07-17,0.24
2002-07-18,0.2302
2002-07-19,0.2297
2002-07-22,0.2291
2002-07-23,0.2222
2002-07-24,0.2334
2002-07-25,0.2205
2002-07-26,0.2202
2002-07-29,0.2306
2002-07-30,0.2369
2002-07-31,0.2343
2002-08-01,0.2273
2002-08-02,0.2219
2002-08-05,0.2148
2002-08-06,0.2263
2002-08-07,0.2308
2002-08-08,0.2349
2002-08-09,0.2303
2002-08-12,0.2302
2002-08-13,0.224
2002-08-14,0.2329
2002-08-15,0.2397
2002-08-16,0.2428
2002-08-19,0.2454
2002-08-20,0.2443
2002-08-21,0.2475
2002-08-22,0.2452
2002-08-23,0.2415
2002-08-26,0.2385
2002-08-27,0.228
2002-08-28,0.2257
2002-08-29,0.2257
2002-08-30,0.2265
2002-09-03,0.2157
2002-09-04,0.2223
2002-09-05,0.2177
2002-09-06,0.2208
2002-09-09,0.2207
2002-09-10,0.22
2002-09-11,0.2194
2002-09-12,0.2171
2002-09-13,0.2176
2002-09-16,0.2227
2002-09-17,0.2273
2002-09-18,0.2306
2002-09-19,0.2239
2002-09-20,0.2283
2002-09-23,0.228
2002-09-24,0.2248
2002-09-25,0.2293
2002-09-26,0.2257
2002-09-27,0.226
2002-09-30,0.2227
2002-10-01,0.2228
2002-10-02,0.2176
2002-10-03,0.2196
2002-10-04,0.2154
2002-10-07,0.2114
2002-10-08,0.2101
2002-10-09,0.2087
2002-10-10,0.2167
2002-10-11,0.2228
2002-10-14,0.2268
2002-10-15,0.2328
2002-10-16,0.2236
2002-10-17,0.2167
2002-10-18,0.2202
2002-10-21,0.2236
2002-10-22,0.2257
2002-10-23,0.2285
2002-10-24,0.2256
2002-10-25,0.2368
2002-10-28,0.2397
2002-10-29,0.2371
2002-10-30,0.2454
2002-10-31,0.2468
2002-11-01,0.2512
2002-11-04,0.2594
2002-11-05,0.2595
2002-11-06,0.2644
2002-11-07,0.2457
2002-11-08,0.2432
2002-11-11,0.2328
2002-11-12,0.2402
2002-11-13,0.2394
2002-11-14,0.2503
2002-11-15,0.2449
2002-11-18,0.2403
2002-11-19,0.2345
2002-11-20,0.2385
2002-11-21,0.2511
2002-11-22,0.2458
2002-11-25,0.2452
2002-11-26,0.2366
2002-11-27,0.2414
2002-11-29,0.238
2002-12-02,0.2331
2002-12-03,0.2328
2002-12-04,0.2299
2002-12-05,0.2246
2002-12-06,0.2296
2002-12-09,0.2265
2002-12-10,0.2346
2002-12-11,0.2379
2002-12-12,0.2332
2002-12-13,0.2271
2002-12-16,0.228
2002-12-17,0.2316
2002-12-18,0.2237
2002-12-19,0.218
2002-12-20,0.2171
2002-12-23,0.2225
2002-12-24,0.2205
2002-12-26,0.2211
2002-12-27,0.2159
2002-12-30,0.2161
2002-12-31,0.22
2003-01-02,0.2273
2003-01-03,0.2288
2003-01-06,0.2288
2003-01-07,0.228
2003-01-08,0.2234
2003-01-09,0.2254
2003-01-10,0.226
2003-01-13,0.2246
2003-01-14,0.2243
2003-01-15,0.2216
2003-01-16,0.2245
2003-01-17,0.2165
2003-01-21,0.2153
2003-01-22,0.2131
2003-01-23,0.2176
2003-01-24,0.2119
2003-01-27,0.217
2003-01-28,0.2239
2003-01-29,0.2293
2003-01-30,0.2199
2003-01-31,0.2205
2003-02-03,0.2251
2003-02-04,0.2242
2003-02-05,0.2219
2003-02-06,0.2216
2003-02-07,0.2173
2003-02-10,0.2204
2003-02-11,0.2204
2003-02-12,0.221
2003-02-13,0.2233
2003-02-14,0.2253
2003-02-18,0.2345
2003-02-19,0.228
2003-02-20,0.2268
2003-02-21,0.2303
2003-02-24,0.2263
2003-02-25,0.2306
2003-02-26,0.2227
2003-02-27,0.2282
2003-02-28,0.2305
2003-03-03,0.225
2003-03-04,0.2236
2003-03-05,0.2245
2003-03-06,0.2236
2003-03-07,0.2231
2003-03-10,0.2207
2003-03-11,0.2185
2003-03-12,0.2184
2003-03-13,0.226
2003-03-14,0.227
2003-03-17,0.2305
2003-03-18,0.2303
2003-03-19,0.2296
2003-03-20,0.2289
2003-03-21,0.2303
2003-03-24,0.2207
2003-03-25,0.2234
2003-03-26,0.2213
2003-03-27,0.2225
2003-03-28,0.2237
2003-03-31,0.2171
2003-04-01,0.2174
2003-04-02,0.2242
2003-04-03,0.222
2003-04-04,0.2213
2003-04-07,0.2225
2003-04-08,0.2219
2003-04-09,0.2179
2003-04-10,0.2207
2003-04-11,0.2027
2003-04-14,0.2085
2003-04-15,0.2056
2003-04-16,0.2033
2003-04-17,0.2015
2003-04-21,0.2018
2003-04-22,0.2075
2003-04-23,0.2085
2003-04-24,0.2064
2003-04-25,0.205
2003-04-28,0.2128
2003-04-29,0.2159
2003-04-30,0.2184
2003-05-01,0.2205
2003-05-02,0.2219
2003-05-05,0.2471
2003-05-06,0.2687
2003-05-07,0.271
2003-05-08,0.2764
2003-05-09,0.281
2003-05-12,0.285
2003-05-13,0.2867
2003-05-14,0.2848
2003-05-15,0.2876
2003-05-16,0.2887
2003-05-19,0.2779
2003-05-20,0.2732
2003-05-21,0.2741
2003-05-22,0.2801
2003-05-23,0.2813
2003-05-27,0.2899
2003-05-28,0.2807
2003-05-29,0.2779
2003-05-30,0.2756
2003-06-02,0.268
2003-06-03,0.2658
2003-06-04,0.2703
2003-06-05,0.2709
2003-06-06,0.2633
2003-06-09,0.2578
2003-06-10,0.2638
2003-06-11,0.268
2003-06-12,0.2729
2003-06-13,0.2675
2003-06-16,0.2805
2003-06-17,0.2793
2003-06-18,0.2936
2003-06-19,0.2939
