Date,adjclose
2001-06-25,21.8147
2001-06-26,22.2234
2001-06-27,22.5403
2001-06-28,23.0472
2001-06-29,23.1296
2001-07-02,22.3692
2001-07-03,22.328
2001-07-05,21.707
2001-07-06,20.9307
2001-07-09,20.8135
2001-07-10,20.4301
2001-07-11,21.0701
2001-07-12,22.686
2001-07-13,22.6036
2001-07-16,22.5529
2001-07-17,22.7557
2001-07-18,22.3597
2001-07-19,22.9933
2001-07-20,21.9192
2001-07-23,21.257
2001-07-24,21.0131
2001-07-25,21.3806
2001-07-26,21.0986
2001-07-27,20.7438
2001-07-30,20.8483
2001-07-31,20.9719
2001-08-01,21.0606
2001-08-02,21.3711
2001-08-03,21.1937
2001-08-06,20.9529
2001-08-07,21.0226
2001-08-08,20.5505
2001-08-09,20.598
2001-08-10,20.7596
2001-08-13,20.8578
2001-08-14,20.4966
2001-08-15,20.0245
2001-08-16,20.4744
2001-08-17,19.6063
2001-08-20,19.8661
2001-08-21,19.2578
2001-08-22,19.2197
2001-08-23,18.7318
2001-08-24,19.6601
2001-08-27,19.7425
2001-08-28,19.2451
2001-08-29,19.0898
2001-08-30,18.0411
2001-08-31,18.0759
2001-09-04,17.7749
2001-09-05,18.2946
2001-09-06,17.7496
2001-09-07,17.5531
2001-09-10,18.2439
2001-09-17,16.7642
2001-09-18,17.2109
2001-09-19,17.0684
2001-09-20,16.083
2001-09-21,15.7503
2001-09-24,16.479
2001-09-25,16.2541
2001-09-26,15.9277
2001-09-27,15.8295
2001-09-28,16.2129
2001-10-01,16.4093
2001-10-02,16.8086
2001-10-03,17.8161
2001-10-04,17.8827
2001-10-05,18.2882
2001-10-08,18.3896
2001-10-09,17.287
2001-10-10,17.588
2001-10-11,17.8446
2001-10-12,17.8636
2001-10-15,18.3959
2001-10-16,18.5195
2001-10-17,17.7528
2001-10-18,17.9809
2001-10-19,18.3453
2001-10-22,19.0613
2001-10-23,19.1469
2001-10-24,19.4289
2001-10-25,19.8217
2001-10-26,19.7077
2001-10-29,18.8966
2001-10-30,18.6558
2001-10-31,18.4245
2001-11-01,19.5936
2001-11-02,19.4542
2001-11-05,20.0467
2001-11-06,20.5251
2001-11-07,20.3572
2001-11-08,20.4111
2001-11-09,20.6614
2001-11-12,20.8452
2001-11-13,21.5137
2001-11-14,20.8958
2001-11-15,20.9497
2001-11-16,20.8325
2001-11-19,21.0828
2001-11-20,20.7216
2001-11-21,20.2938
2001-11-23,20.503
2001-11-26,20.6392
2001-11-27,20.1956
2001-11-28,19.8978
2001-11-29,20.5442
2001-11-30,20.3445
2001-12-03,20.522
2001-12-04,20.9117
2001-12-05,21.5771
2001-12-06,21.7513
2001-12-07,21.4915
2001-12-10,21.2475
2001-12-11,21.3299
2001-12-12,21.5295
2001-12-13,20.9972
2001-12-14,21.3679
2001-12-17,21.8559
2001-12-18,21.9478
2001-12-19,22.0175
2001-12-20,21.1525
2001-12-21,21.3996
2001-12-24,21.3141
2001-12-26,21.444
2001-12-27,21.4978
2001-12-28,21.5042
2001-12-31,20.9909
2002-01-02,21.2412
